Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
11 Com b,11 Com,1.29,,19,0,19,#DIV/0!,7.296635662
11 Com b,11 Com,1.21,,19,0,19,#DIV/0!,6.844131125
11 UMi b,11 UMi,1.54,,24.08,0,24.08,#DIV/0!,6.873070369
11 UMi b,11 UMi,1.51,,24.08,0,24.08,#DIV/0!,6.739179388
11 UMi b,11 UMi,1.53,,29.79,0,29.79,#DIV/0!,5.519598396
14 And b,14 And,0.83,,11,0,11,#DIV/0!,8.109086991
14 And b,14 And,0.68,,11,0,11,#DIV/0!,6.643589342
14 Her b,14 Her,2.8,,11,0,11,#DIV/0!,27.35595611
14 Her b,14 Her,2.83,,1,0,1,#DIV/0!,304.1396121
14 Her b,14 Her,2.864,,1,0,1,#DIV/0!,307.7935862
14 Her b,14 Her,2.93,,0.93,0,0.93,#DIV/0!,338.5877364
14 Her b,14 Her,2.73,,0.93,0,0.93,#DIV/0!,315.4759455
14 Her b,14 Her,2.773069,,0.93,0,0.93,#DIV/0!,320.4529541
14 Her b,14 Her,2.82,,0.93,0,0.93,#DIV/0!,325.8762514
14 Her b,14 Her,2.77,,0.93,0,0.93,#DIV/0!,320.0983037
16 Cyg B b,16 Cyg B,1.66,,1.13,0,1.13,#DIV/0!,157.8760299
16 Cyg B b,16 Cyg B,1.676,,1.16,0,1.16,#DIV/0!,155.2753716
16 Cyg B b,16 Cyg B,1.681,,1.16,0,1.16,#DIV/0!,155.7386036
16 Cyg B b,16 Cyg B,1.6,,1.16,0,1.16,#DIV/0!,148.2342449
16 Cyg B b,16 Cyg B,1.68,,1.13,0,1.13,#DIV/0!,159.7781507
16 Cyg B b,16 Cyg B,1.68,,1.13,0,1.13,#DIV/0!,159.7781507
17 Sco b,17 Sco,1.45,,25.92,0,25.92,#DIV/0!,6.012008102
18 Del b,18 Del,2.6,,8.5,0,8.5,#DIV/0!,32.87312373
18 Del b,18 Del,2.54,,8.5,0,8.5,#DIV/0!,32.11451318
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,18.647,1.35,18.647,1.35,7.900408041,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.35,0,1.35,#DIV/0!,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.35,0,1.35,#DIV/0!,26270.4023
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330,,1.31,0,1.31,#DIV/0!,27072.55199
24 Boo b,24 Boo,0.19,,10.64,0,10.64,#DIV/0!,1.919104064
24 Sex b,24 Sex,1.333,,4.9,0,4.9,#DIV/0!,29.23617963
24 Sex c,24 Sex,2.08,,4.9,0,4.9,#DIV/0!,45.61984518
2M0437 b,2MASS J04372171+2651014,118,,0.84,0,0.84,#DIV/0!,15096.95197
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,84,,0.84,0,0.84,#DIV/0!,10746.98276
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,11.209,0.37,11.209,0.37,3.602131636,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,52,,0.37,0,0.37,#DIV/0!,15103.86766
2MASS J02192210-3925225 b,2MASS J02192210-3925225,156,16.141,0.28,16.141,0.28,1.89300743,59876.0468
2MASS J04414489+2301513 b,2MASS J04414489+2301513,15,,,0,0,#DIV/0!,#DIV/0!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,55,,,0,0,#DIV/0!,#DIV/0!
2MASS J12073346-3932539 b,2MASS J12073346-3932539,46,,0.22,0,0.22,#DIV/0!,22470.96395
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,,0.2,0,0.2,#DIV/0!,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.92,,,0,0,#DIV/0!,#DIV/0!
2MASS J22362452+4751425 b,2MASS J22362452+4751425,230,,,0,0,#DIV/0!,#DIV/0!
30 Ari B b,30 Ari B,0.995,,1.13,0,1.13,#DIV/0!,94.6305119
30 Ari B b,30 Ari B,1.01,,1.13,0,1.13,#DIV/0!,96.05710253
30 Ari B b,30 Ari B,0.99,,1.41,0,1.41,#DIV/0!,75.45753852
4 UMa b,4 UMa,0.87,,18.11,0,18.11,#DIV/0!,5.162824406
42 Dra b,42 Dra,1.19,,22.03,0,22.03,#DIV/0!,5.805224459
47 UMa b,47 UMa,2.1,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.1,,1.21,0,1.21,#DIV/0!,186.5178826
47 UMa b,47 UMa,2.11,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.11,,,0,0,#DIV/0!,#DIV/0!
47 UMa b,47 UMa,2.059,,1.14,0,1.14,#DIV/0!,194.1055921
47 UMa c,47 UMa,3.6,,1.21,0,1.21,#DIV/0!,319.7449416
47 UMa c,47 UMa,7.73,,,0,0,#DIV/0!,#DIV/0!
47 UMa c,47 UMa,3.404,,1.14,0,1.14,#DIV/0!,320.9011343
47 UMa d,47 UMa,11.6,,1.21,0,1.21,#DIV/0!,1030.289256
47 UMa d,47 UMa,13.8,,1.14,0,1.14,#DIV/0!,1300.950544
51 Eri b,51 Eri,13.2,,,0,0,#DIV/0!,#DIV/0!
51 Eri b,51 Eri,14,,1.49,0,1.49,#DIV/0!,1009.783615
51 Eri b,51 Eri,12,,1.49,0,1.49,#DIV/0!,865.5288128
51 Peg b,51 Peg,0.05235,,1.19,0,1.19,#DIV/0!,4.727769306
51 Peg b,51 Peg,,,1.29,0,1.29,#DIV/0!,0
51 Peg b,51 Peg,0.0527,,1.18,0,1.18,#DIV/0!,4.799711791
51 Peg b,51 Peg,0.052,,,0,0,#DIV/0!,#DIV/0!
51 Peg b,51 Peg,0.052,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.1134,,0.94,0,0.94,#DIV/0!,12.96497707
55 Cnc b,55 Cnc,0.115227,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.1138,,0.96,0,0.96,#DIV/0!,12.73965248
55 Cnc b,55 Cnc,0.115,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.1134,,0.96,0,0.96,#DIV/0!,12.69487338
55 Cnc b,55 Cnc,0.11,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.115,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.1162,,0.96,0,0.96,#DIV/0!,13.00832705
55 Cnc b,55 Cnc,0.113,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.115,,,0,0,#DIV/0!,#DIV/0!
55 Cnc b,55 Cnc,0.115,,0.96,0,0.96,#DIV/0!,12.87398976
55 Cnc b,55 Cnc,0.11339,,0.96,0,0.96,#DIV/0!,12.69375391
55 Cnc c,55 Cnc,0.24,,,0,0,#DIV/0!,#DIV/0!
55 Cnc c,55 Cnc,0.238,,0.96,0,0.96,#DIV/0!,26.64356142
55 Cnc c,55 Cnc,0.2432,,0.96,0,0.96,#DIV/0!,27.22568966
55 Cnc c,55 Cnc,0.241376,,,0,0,#DIV/0!,#DIV/0!
55 Cnc c,55 Cnc,0.2373,,0.94,0,0.94,#DIV/0!,27.13041499
55 Cnc c,55 Cnc,0.24,,0.96,0,0.96,#DIV/0!,26.8674569
55 Cnc c,55 Cnc,0.237,,0.96,0,0.96,#DIV/0!,26.53161369
55 Cnc c,55 Cnc,0.23735,,0.96,0,0.96,#DIV/0!,26.57079539
55 Cnc d,55 Cnc,5.84,,0.96,0,0.96,#DIV/0!,653.7747845
55 Cnc d,55 Cnc,5.77,,0.96,0,0.96,#DIV/0!,645.9384429
55 Cnc d,55 Cnc,5.47,,0.96,0,0.96,#DIV/0!,612.3541218
55 Cnc d,55 Cnc,5.28,,,0,0,#DIV/0!,#DIV/0!
55 Cnc d,55 Cnc,5.503,,,0,0,#DIV/0!,#DIV/0!
55 Cnc d,55 Cnc,5.54,,0.96,0,0.96,#DIV/0!,620.1904634
55 Cnc d,55 Cnc,5.446,,0.96,0,0.96,#DIV/0!,609.6673761
55 Cnc d,55 Cnc,5.957,,0.94,0,0.94,#DIV/0!,681.0614499
55 Cnc d,55 Cnc,5.257,,,0,0,#DIV/0!,#DIV/0!
55 Cnc d,55 Cnc,5.9,,,0,0,#DIV/0!,#DIV/0!
55 Cnc e,55 Cnc,,1.897,0.95,1.897,0.95,54.64884645,0
55 Cnc e,55 Cnc,,1.915,0.96,1.915,0.96,54.70501978,0
55 Cnc e,55 Cnc,0.015691,,,0,0,#DIV/0!,#DIV/0!
55 Cnc e,55 Cnc,0.015439,,0.96,0,0.96,#DIV/0!,1.728361113
55 Cnc e,55 Cnc,0.01544,1.92,0.96,1.92,0.96,54.5625588,1.72847306
55 Cnc e,55 Cnc,0.01544,1.91,0.96,1.91,0.96,54.84822664,1.72847306
55 Cnc e,55 Cnc,0.01583,2.173,0.96,2.173,0.96,48.20990009,1.772132678
55 Cnc e,55 Cnc,0.038,,,0,0,#DIV/0!,#DIV/0!
55 Cnc e,55 Cnc,0.01544,1.875,0.94,1.875,0.94,54.70805895,1.765249083
55 Cnc e,55 Cnc,0.0377,,0.96,0,0.96,#DIV/0!,4.220429688
55 Cnc e,55 Cnc,,,0.96,0,0.96,#DIV/0!,0
55 Cnc e,55 Cnc,,,,0,0,#DIV/0!,#DIV/0!
55 Cnc e,55 Cnc,0.01583,,0.96,0,0.96,#DIV/0!,1.772132678
55 Cnc e,55 Cnc,0.01544,2.08,0.94,2.08,0.94,49.31615891,1.765249083
55 Cnc e,55 Cnc,0.01583,2,0.94,2,0.94,51.28880527,1.809837628
55 Cnc f,55 Cnc,0.792,,0.96,0,0.96,#DIV/0!,88.66260776
55 Cnc f,55 Cnc,0.77,,0.96,0,0.96,#DIV/0!,86.19975754
55 Cnc f,55 Cnc,0.7733,,0.96,0,0.96,#DIV/0!,86.56918508
55 Cnc f,55 Cnc,0.7708,,0.94,0,0.94,#DIV/0!,88.12525862
55 Cnc f,55 Cnc,0.788,,,0,0,#DIV/0!,#DIV/0!
55 Cnc f,55 Cnc,0.781,,0.96,0,0.96,#DIV/0!,87.43118265
55 Cnc f,55 Cnc,0.775,,0.96,0,0.96,#DIV/0!,86.75949623
6 Lyn b,6 Lyn,2.11,,5.2,0,5.2,#DIV/0!,43.60794927
6 Lyn b,6 Lyn,2.18,,5.2,0,5.2,#DIV/0!,45.05465849
6 Lyn b,6 Lyn,2.2,,5.2,0,5.2,#DIV/0!,45.46800398
61 Vir b,61 Vir,0.04956,,1.03,0,1.03,#DIV/0!,5.171072481
61 Vir b,61 Vir,0.050201,,0.96,0,0.96,#DIV/0!,5.619888349
61 Vir c,61 Vir,0.2175,,0.96,0,0.96,#DIV/0!,24.34863281
61 Vir c,61 Vir,0.2151,,1.03,0,1.03,#DIV/0!,22.44345623
61 Vir d,61 Vir,0.476,,0.96,0,0.96,#DIV/0!,53.28712284
7 CMa b,7 CMa,1.9,,2.3,0,2.3,#DIV/0!,88.77942279
7 CMa b,7 CMa,1.758,,4.87,0,4.87,#DIV/0!,38.79506302
7 CMa b,7 CMa,1.93,,4.91,0,4.91,#DIV/0!,42.24374078
7 CMa c,7 CMa,2.153,,4.87,0,4.87,#DIV/0!,47.51181495
70 Vir b,70 Vir,0.484,,,0,0,#DIV/0!,#DIV/0!
70 Vir b,70 Vir,0.456,,,0,0,#DIV/0!,#DIV/0!
70 Vir b,70 Vir,0.481,,1.94,0,1.94,#DIV/0!,26.64586962
70 Vir b,70 Vir,0.4765,,1.92,0,1.92,#DIV/0!,26.67154836
70 Vir b,70 Vir,0.48,,1.84,0,1.84,#DIV/0!,28.0356072
70 Vir b,70 Vir,0.481,,1.89,0,1.89,#DIV/0!,27.35078681
75 Cet b,75 Cet,2.1,,10.5,0,10.5,#DIV/0!,21.49396552
8 UMi b,8 UMi,0.49,,10.3,0,10.3,#DIV/0!,5.112642283
8 UMi b,8 UMi,0.49,,9.9,0,9.9,#DIV/0!,5.319213689
81 Cet b,81 Cet,2.17,,,0,0,#DIV/0!,#DIV/0!
81 Cet b,81 Cet,2.5,,11,0,11,#DIV/0!,24.42496082
91 Aqr b,91 Aqr,0.7,,11,0,11,#DIV/0!,6.838989028
AB Aur b,AB Aur,93.9,,,0,0,#DIV/0!,#DIV/0!
AB Pic b,AB Pic,260,,,0,0,#DIV/0!,#DIV/0!
AU Mic b,AU Mic,,,0.75,0,0.75,#DIV/0!,0
AU Mic b,AU Mic,,4.027,0.7,4.027,0.7,18.9688558,0
AU Mic b,AU Mic,0.0645,4.07,0.75,4.07,0.75,20.10905115,9.242405172
AU Mic b,AU Mic,,,0.75,0,0.75,#DIV/0!,0
AU Mic b,AU Mic,0.0645,,,0,0,#DIV/0!,#DIV/0!
AU Mic b,AU Mic,0.066,4.203,0.75,4.203,0.75,19.47271906,9.457344828
AU Mic b,AU Mic,0.0644,4.19,0.75,4.19,0.75,19.53313561,9.228075862
AU Mic c,AU Mic,,,0.75,0,0.75,#DIV/0!,0
AU Mic c,AU Mic,0.11,2.79,0.75,2.79,0.75,29.33470903,15.76224138
AU Mic c,AU Mic,0.1101,,,0,0,#DIV/0!,#DIV/0!
AU Mic c,AU Mic,0.1101,3.24,0.75,3.24,0.75,25.26044389,15.77657069
BD+03 2562 b,BD+03 2562,1.3,,32.35,0,32.35,#DIV/0!,4.318725684
BD+14 4559 b,BD+14 4559,0.78,,0.86,0,0.86,#DIV/0!,97.47263432
BD+14 4559 b,BD+14 4559,0.777,,0.95,0,0.95,#DIV/0!,87.89900635
BD+15 2375 b,BD+15 2375,0.576,,8.95,0,8.95,#DIV/0!,6.916493932
BD+15 2940 b,BD+15 2940,0.539,,14.7,0,14.7,#DIV/0!,3.940560345
BD+20 2457 b,BD+20 2457,1.05,,71.02,0,71.02,#DIV/0!,1.588894945
BD+20 2457 b,BD+20 2457,1.45,,49,0,49,#DIV/0!,3.180229592
BD+20 2457 c,BD+20 2457,2.01,,49,0,49,#DIV/0!,4.408456193
BD+20 274 b,BD+20 274,1.3,,17.3,0,17.3,#DIV/0!,8.075767391
BD+20 594 b,BD+20 594,,2.355,0.96,2.355,0.96,44.48412437,0
BD+20 594 b,BD+20 594,0.241,2.23,0.93,2.23,0.93,45.50957819,27.84970801
BD+20 594 b,BD+20 594,,2.578,1.08,2.578,1.08,45.71572033,0
BD+45 564 b,BD+45 564,0.83,,,0,0,#DIV/0!,#DIV/0!
BD+48 738 b,BD+48 738,1,,11,0,11,#DIV/0!,9.769984326
BD+48 740 b,BD+48 740,1.7,,10.33,0,10.33,#DIV/0!,17.68622526
BD+49 828 b,BD+49 828,4.2,,7.6,0,7.6,#DIV/0!,59.39122051
BD+55 362 b,BD+55 362,0.78,,,0,0,#DIV/0!,#DIV/0!
BD+60 1417 b,BD+60 1417,1662,14.684,0.8,14.684,0.8,5.945252933,223268.5668
BD+63 1405 b,BD+63 1405,2.06,,,0,0,#DIV/0!,#DIV/0!
BD-00 4475 b,BD-00 4475,1.48,,,0,0,#DIV/0!,#DIV/0!
BD-06 1339 b,BD-06 1339,0.0428,,,0,0,#DIV/0!,#DIV/0!
BD-06 1339 c,BD-06 1339,0.435,,,0,0,#DIV/0!,#DIV/0!
BD-08 2823 b,BD-08 2823,0.056,,,0,0,#DIV/0!,#DIV/0!
BD-08 2823 b,BD-08 2823,0.06,,0.71,0,0.71,#DIV/0!,9.081957261
BD-08 2823 c,BD-08 2823,0.68,,,0,0,#DIV/0!,#DIV/0!
BD-10 3166 b,BD-10 3166,0.046,,,0,0,#DIV/0!,#DIV/0!
BD-10 3166 b,BD-10 3166,0.04,,0.91,0,0.91,#DIV/0!,4.723948465
BD-10 3166 b,BD-10 3166,0.045,,0.97,0,0.97,#DIV/0!,4.985713651
BD-10 3166 b,BD-10 3166,0.0452,,,0,0,#DIV/0!,#DIV/0!
BD-11 4672 b,BD-11 4672,2.28,,0.52,0,0.52,#DIV/0!,471.2138594
BD-11 4672 b,BD-11 4672,2.36,,0.64,0,0.64,#DIV/0!,396.2949892
BD-11 4672 c,BD-11 4672,0.3,,0.64,0,0.64,#DIV/0!,50.37648168
BD-13 2130 b,BD-13 2130,2.1,,,0,0,#DIV/0!,#DIV/0!
BD-13 2130 b,BD-13 2130,1.66,,19.17,0,19.17,#DIV/0!,9.306203119
BD-17 63 b,BD-17 63,1.34,,0.69,0,0.69,#DIV/0!,208.7095202
BD-17 63 b,BD-17 63,1.34,,0.74,0,0.74,#DIV/0!,194.6075256
CD Cet b,CD Cet,0.0185,,0.17,0,0.17,#DIV/0!,11.69524594
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2.6,,,0,0,#DIV/0!,#DIV/0!
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200,20.849,0.24,20.849,0.24,1.25617671,89558.18966
CHXR 73 b,CHXR 73,210,,,0,0,#DIV/0!,#DIV/0!
CI Tau b,CI Tau,,,,0,0,#DIV/0!,#DIV/0!
COCONUTS-2 b,COCONUTS-2 A,7506,12.442,0.39,12.442,0.39,3.420575137,2068380.836
CT Cha b,CT Cha,440,24.66,,24.66,0,0,#DIV/0!
CoRoT-1 b,CoRoT-1,0.02752,19.223,1.23,19.223,1.23,6.982463436,2.404528175
CoRoT-1 b,CoRoT-1,,16.7,1.11,16.7,1.11,7.253226379,0
CoRoT-1 b,CoRoT-1,0.0259,15.917,,15.917,0,0,#DIV/0!
CoRoT-1 b,CoRoT-1,0.02536,17.385,1.13,17.385,1.13,7.092975719,2.411889228
CoRoT-1 b,CoRoT-1,,20.594,1.29,20.594,1.29,6.835554127,0
CoRoT-1 b,CoRoT-1,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-1 b,CoRoT-1,0.0261,16.589,1.14,16.589,1.14,7.499103867,2.460493421
CoRoT-10 b,CoRoT-10,0.1055,10.873,0.79,10.873,0.79,7.928708075,14.3519833
CoRoT-10 b,CoRoT-10,0.1055,10.87,0.79,10.87,0.79,7.930896311,14.3519833
CoRoT-10 b,CoRoT-10,0.106,10.548,0.74,10.548,0.74,7.655724973,15.39432665
CoRoT-11 b,CoRoT-11,0.044,15.984,1.37,15.984,1.37,9.353191385,3.451585703
CoRoT-11 b,CoRoT-11,0.04407,16.029,1.37,16.029,1.37,9.326933127,3.457076863
CoRoT-11 b,CoRoT-11,0.0436,16.03,1.37,16.03,1.37,9.326351285,3.420207652
CoRoT-11 b,CoRoT-11,0.04351,15.581,1.33,15.581,1.33,9.314960939,3.515798645
CoRoT-11 b,CoRoT-11,,,1.36,0,1.36,#DIV/0!,0
CoRoT-12 b,CoRoT-12,0.0392,15.065,1.05,15.065,1.05,7.605799766,4.012206897
CoRoT-12 b,CoRoT-12,0.0394,15.132,1.05,15.132,1.05,7.572123544,4.03267734
CoRoT-12 b,CoRoT-12,0.04013,16.141,1.12,16.141,1.12,7.57202972,3.850682304
CoRoT-12 b,CoRoT-12,,,1.12,0,1.12,#DIV/0!,0
CoRoT-12 b,CoRoT-12,0.04016,16.14,1.12,16.14,1.12,7.572498866,3.853560961
CoRoT-12 b,CoRoT-12,,17.76,1.04,17.76,1.04,6.390209589,0
CoRoT-13 b,CoRoT-13,0.05107,9.92,1.01,9.92,1.01,11.11052105,5.434142668
CoRoT-13 b,CoRoT-13,,,1.01,0,1.01,#DIV/0!,0
CoRoT-13 b,CoRoT-13,0.051,9.92,1.01,9.92,1.01,11.11052105,5.426694264
CoRoT-13 b,CoRoT-13,,12.533,1.14,12.533,1.14,9.926006068,0
CoRoT-13 b,CoRoT-13,0.051,14.034,1.27,14.034,1.27,9.875224408,4.315717486
CoRoT-14 b,CoRoT-14,0.02687,11.411,1.19,11.411,1.19,11.38014985,2.426650645
CoRoT-14 b,CoRoT-14,0.02691,12.218,1.21,12.218,1.21,10.80712001,2.390093438
CoRoT-14 b,CoRoT-14,0.027,12.22,1.21,12.22,1.21,10.80535125,2.398087062
CoRoT-16 b,CoRoT-16,0.0618,13.115,1.19,13.115,1.19,9.901554703,5.581206172
CoRoT-16 b,CoRoT-16,0.0618,13.11,1.19,13.11,1.19,9.90533104,5.581206172
CoRoT-17 b,CoRoT-17,0.0461,11.43,1.59,11.43,1.59,15.18013447,3.115949089
CoRoT-17 b,CoRoT-17,0.0481,11.287,1.62,11.287,1.62,15.6625047,3.190925128
CoRoT-17 b,CoRoT-17,0.0481,11.433,1.59,11.433,1.59,15.17615123,3.251131262
CoRoT-18 b,CoRoT-18,,,1,0,1,#DIV/0!,0
CoRoT-18 b,CoRoT-18,0.0295,14.684,1,14.684,1,7.431566167,3.170359914
CoRoT-18 b,CoRoT-18,0.0288,12.846,0.88,12.846,0.88,7.475486804,3.517194357
CoRoT-18 b,CoRoT-18,0.0286,14.022,0.92,14.022,0.92,7.159827998,3.340909858
CoRoT-18 b,CoRoT-18,,15.05,0.93,15.05,0.93,6.743279692,0
CoRoT-18 b,CoRoT-18,0.0295,14.68,1,14.68,1,7.433591117,3.170359914
CoRoT-19 b,CoRoT-19,0.0518,14.46,1.65,14.46,1.65,12.45203624,3.373901254
CoRoT-19 b,CoRoT-19,,13.493,1.64,13.493,1.64,13.26355835,0
CoRoT-19 b,CoRoT-19,0.0512,13.339,1.58,13.339,1.58,12.92583296,3.482566565
CoRoT-19 b,CoRoT-19,0.05166,14.46,1.65,14.46,1.65,12.45203624,3.364782602
CoRoT-19 b,CoRoT-19,,,1.65,0,1.65,#DIV/0!,0
CoRoT-2 b,CoRoT-2,,16.923,0.94,16.923,0.94,6.061431811,0
CoRoT-2 b,CoRoT-2,0.02835,16.365,0.9,16.365,0.9,6.001381352,3.385299569
CoRoT-2 b,CoRoT-2,,,0.94,0,0.94,#DIV/0!,0
CoRoT-2 b,CoRoT-2,0.0281,16.421,,16.421,0,0,#DIV/0!
CoRoT-2 b,CoRoT-2,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-2 b,CoRoT-2,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-2 b,CoRoT-2,,15.85,0.9,15.85,0.9,6.196378917,0
CoRoT-2 b,CoRoT-2,0.0281,16.432,0.9,16.432,0.9,5.976911261,3.355446839
CoRoT-2 b,CoRoT-2,0.02854,16.477,0.91,16.477,0.91,6.026816593,3.37053723
CoRoT-2 b,CoRoT-2,0.02798,16.432,0.91,16.432,0.91,6.043321386,3.304401951
CoRoT-2 b,CoRoT-2,,16.533,,16.533,0,0,#DIV/0!
CoRoT-20 b,CoRoT-20,0.0892,13.002,1.34,13.002,1.34,11.24655111,7.153961657
CoRoT-20 b,CoRoT-20,0.0902,9.42,1.02,9.42,1.02,11.81609554,9.503704361
CoRoT-20 b,CoRoT-20,0.0891,11.209,1.16,11.209,1.16,11.29316945,8.254794515
CoRoT-20 b,CoRoT-20,0.0901,9.416,1.02,9.416,1.02,11.82111512,9.493168103
CoRoT-20 b,CoRoT-20,,15.397,1.3,15.397,1.3,9.213655444,0
CoRoT-20 b,CoRoT-20,0.09,,,0,0,#DIV/0!,#DIV/0!
CoRoT-20 c,CoRoT-20,2.9,,,0,0,#DIV/0!,#DIV/0!
CoRoT-21 b,CoRoT-21,0.0416,14.572,1.95,14.572,1.95,14.60293572,2.292689655
CoRoT-21 b,CoRoT-21,0.0417,14.572,1.95,14.572,1.95,14.60293572,2.298200928
CoRoT-22 b,CoRoT-22,0.092,4.88,1.14,4.88,1.14,25.49234304,8.67300363
CoRoT-23 b,CoRoT-23,0.04809,13.227,1.74,13.227,1.74,14.35531145,2.970243683
CoRoT-23 b,CoRoT-23,0.0484,11.769,1.61,11.769,1.61,14.9283235,3.230769972
CoRoT-23 b,CoRoT-23,0.048,11.77,1.61,11.77,1.61,14.92705517,3.204069394
CoRoT-24 b,CoRoT-24,0.056,3.7,0.86,3.7,0.86,25.36421652,6.998035285
CoRoT-24 c,CoRoT-24,0.098,5,0.86,5,0.86,18.76952023,12.24656175
CoRoT-25 b,CoRoT-25,0.05789,12.106,1.19,12.106,1.19,10.72682058,5.228091024
CoRoT-25 b,CoRoT-25,0.0578,12.11,1.19,12.11,1.19,10.72327745,5.219963054
CoRoT-26 b,CoRoT-26,0.0526,14.12,1.79,14.12,1.79,13.83384989,3.158051917
CoRoT-26 b,CoRoT-26,0.0525,14.123,1.79,14.123,1.79,13.83091131,3.152048016
CoRoT-27 b,CoRoT-27,0.0467,11.287,1.08,11.287,1.08,10.4416698,4.647074952
CoRoT-27 b,CoRoT-27,0.0476,11.287,1.08,11.287,1.08,10.4416698,4.736633142
CoRoT-28 b,CoRoT-28,0.0603,10.705,1.78,10.705,1.78,18.14504524,3.64069135
CoRoT-28 b,CoRoT-28,0.059,10.705,1.78,10.705,1.78,18.14504524,3.56220215
CoRoT-29 b,CoRoT-29,0.0386,10.088,0.9,10.088,0.9,9.735587414,4.609261494
CoRoT-29 b,CoRoT-29,0.039,10.088,0.9,10.088,0.9,9.735587414,4.657025862
CoRoT-29 b,CoRoT-29,,,1.08,0,1.08,#DIV/0!,0
CoRoT-3 b,CoRoT-3,0.0574,11.321,1.56,11.321,1.56,15.0371154,3.954338528
CoRoT-3 b,CoRoT-3,,,1.44,0,1.44,#DIV/0!,0
CoRoT-3 b,CoRoT-3,0.05694,11.135,1.54,11.135,1.54,15.09229287,3.973592197
CoRoT-3 b,CoRoT-3,0.05783,11.624,1.57,11.624,1.57,14.73902569,3.95858607
CoRoT-3 b,CoRoT-3,,11.32,1.56,11.32,1.56,15.03844377,0
CoRoT-30 b,CoRoT-30,0.0844,11.31,0.91,11.31,0.91,8.780181875,9.967531262
CoRoT-31 b,CoRoT-31,0.0586,16.365,2.15,16.365,2.15,14.33663323,2.929177626
CoRoT-35 b,CoRoT-35,0.0429,18.831,1.65,18.831,1.65,9.561703788,2.794215517
CoRoT-36 b,CoRoT-36,0.066,15.805,1.52,15.805,1.52,10.49479144,4.66645304
CoRoT-4 b,CoRoT-4,0.09025,13.339,1.17,13.339,1.17,9.571661113,8.289873453
CoRoT-4 b,CoRoT-4,,13.437,1.12,13.437,1.12,9.09579011,0
CoRoT-4 b,CoRoT-4,0.0912,13.002,1.15,13.002,1.15,9.651890881,8.522824588
CoRoT-4 b,CoRoT-4,0.09,13.34,1.17,13.34,1.17,9.570943597,8.266909814
CoRoT-5 b,CoRoT-5,0.0495,14.079,1.11,14.079,1.11,8.603514492,4.792573392
CoRoT-5 b,CoRoT-5,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-5 b,CoRoT-5,0.04963,15.558,1.19,15.558,1.19,8.346759862,4.482123986
CoRoT-5 b,CoRoT-5,0.04947,15.558,1.19,15.558,1.19,8.346759862,4.467674261
CoRoT-5 b,CoRoT-5,,18.383,1.27,18.383,1.27,7.538970752,0
CoRoT-5 b,CoRoT-5,0.05004,13.249,1.05,13.249,1.05,8.64830353,5.121704926
CoRoT-6 b,CoRoT-6,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-6 b,CoRoT-6,0.0855,13.068,1.02,13.068,1.02,8.517571162,9.008500254
CoRoT-6 b,CoRoT-6,0.0854,13.07,1.02,13.07,1.02,8.516267785,8.997963996
CoRoT-6 b,CoRoT-6,0.0855,13.283,1.04,13.283,1.04,8.544012821,8.835259864
CoRoT-7 b,CoRoT-7,0.017,,0.86,0,0.86,#DIV/0!,2.124403569
CoRoT-7 b,CoRoT-7,0.017,,0.86,0,0.86,#DIV/0!,2.124403569
CoRoT-7 b,CoRoT-7,,1.681,0.83,1.681,0.83,53.88093254,0
CoRoT-7 b,CoRoT-7,,1.58,0.84,1.58,0.84,58.0158853,0
CoRoT-7 b,CoRoT-7,0.0172,1.68,0.87,1.68,0.87,56.51122161,2.124690844
CoRoT-7 b,CoRoT-7,0.017016,1.585,0.82,1.585,0.82,56.4558968,2.230129983
